symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2020-01-27 00:00:00+00:00,4.13,4.24,4.11,4.24,111781,3.8856901408,3.9891830986,3.8668732394,3.9891830986,111781,0.0,1.0
TCS,2020-01-28 00:00:00+00:00,4.2,4.22,4.11,4.21,120813,3.9515492958,3.9703661972,3.8668732394,3.9609577465,120813,0.0,1.0
TCS,2020-01-29 00:00:00+00:00,4.12,4.2705,4.1,4.2,166898,3.8762816901,4.0178788732,3.8574647887,3.9515492958,166898,0.0,1.0
TCS,2020-01-30 00:00:00+00:00,4.05,4.135,3.94,4.1,388049,3.8104225352,3.8903943662,3.7069295775,3.8574647887,388049,0.0,1.0
TCS,2020-01-31 00:00:00+00:00,4.04,4.07,3.97,4.04,185682,3.8010140845,3.8292394366,3.7351549296,3.8010140845,185682,0.0,1.0
TCS,2020-02-03 00:00:00+00:00,4.19,4.31,4.05,4.05,187576,3.9421408451,4.0550422535,3.8104225352,3.8104225352,187576,0.0,1.0
TCS,2020-02-04 00:00:00+00:00,4.35,4.45,4.25,4.26,297233,4.0926760563,4.1867605634,3.9985915493,4.008,297233,0.0,1.0
TCS,2020-02-05 00:00:00+00:00,4.17,4.72,4.13,4.5,537550,3.9233239437,4.4407887324,3.8856901408,4.2338028169,537550,0.0,1.0
TCS,2020-02-06 00:00:00+00:00,4.14,4.2,4.0,4.11,516766,3.8950985915,3.9515492958,3.7633802817,3.8668732394,516766,0.0,1.0
TCS,2020-02-07 00:00:00+00:00,4.12,4.19,4.045,4.16,174865,3.8762816901,3.9421408451,3.8057183099,3.913915493,174865,0.0,1.0
TCS,2020-02-10 00:00:00+00:00,4.04,4.12,3.95,4.08,305792,3.8010140845,3.8762816901,3.7163380282,3.8386478873,305792,0.0,1.0
TCS,2020-02-11 00:00:00+00:00,4.13,4.16,3.99,4.03,156226,3.8856901408,3.913915493,3.753971831,3.7916056338,156226,0.0,1.0
TCS,2020-02-12 00:00:00+00:00,4.25,4.27,4.11,4.17,146357,3.9985915493,4.0174084507,3.8668732394,3.9233239437,146357,0.0,1.0
TCS,2020-02-13 00:00:00+00:00,4.27,4.37,4.22,4.26,185283,4.0174084507,4.1114929577,3.9703661972,4.008,185283,0.0,1.0
TCS,2020-02-14 00:00:00+00:00,4.1,4.26,4.07,4.25,189526,3.8574647887,4.008,3.8292394366,3.9985915493,189526,0.0,1.0
TCS,2020-02-18 00:00:00+00:00,4.12,4.16,4.05,4.1,101026,3.8762816901,3.913915493,3.8104225352,3.8574647887,101026,0.0,1.0
TCS,2020-02-19 00:00:00+00:00,4.27,4.34,4.1205,4.15,170806,4.0174084507,4.0832676056,3.8767521127,3.9045070423,170806,0.0,1.0
TCS,2020-02-20 00:00:00+00:00,4.3,4.38,4.25,4.26,135950,4.0456338028,4.1209014085,3.9985915493,4.008,135950,0.0,1.0
TCS,2020-02-21 00:00:00+00:00,4.1,4.3,4.09,4.3,115957,3.8574647887,4.0456338028,3.848056338,4.0456338028,115957,0.0,1.0
TCS,2020-02-24 00:00:00+00:00,4.08,4.1136,4.0,4.06,222383,3.8386478873,3.8702602817,3.7633802817,3.8198309859,222383,0.0,1.0
TCS,2020-02-25 00:00:00+00:00,4.05,4.11,4.04,4.11,226291,3.8104225352,3.8668732394,3.8010140845,3.8668732394,226291,0.0,1.0
TCS,2020-02-26 00:00:00+00:00,3.97,4.06,3.85,4.06,515637,3.7351549296,3.8198309859,3.6222535211,3.8198309859,515637,0.0,1.0
TCS,2020-02-27 00:00:00+00:00,3.89,4.02,3.845,3.87,303359,3.6598873239,3.7821971831,3.6175492958,3.6410704225,303359,0.0,1.0
TCS,2020-02-28 00:00:00+00:00,3.78,3.87,3.6,3.8,531083,3.5563943662,3.6410704225,3.3870422535,3.5752112676,531083,0.0,1.0
TCS,2020-03-02 00:00:00+00:00,3.64,3.84,3.6,3.79,299790,3.4246760563,3.6128450704,3.3870422535,3.5658028169,299790,0.0,1.0
TCS,2020-03-03 00:00:00+00:00,3.57,3.78,3.525,3.77,304659,3.3588169014,3.5563943662,3.3164788732,3.5469859155,304659,0.0,1.0
TCS,2020-03-04 00:00:00+00:00,3.52,3.58,3.41,3.58,198611,3.3117746479,3.3682253521,3.2082816901,3.3682253521,198611,0.0,1.0
TCS,2020-03-05 00:00:00+00:00,3.37,3.48,3.23,3.48,365935,3.1706478873,3.2741408451,3.0389295775,3.2741408451,365935,0.0,1.0
TCS,2020-03-06 00:00:00+00:00,3.07,3.33,3.04,3.27,306513,2.8883943662,3.1330140845,2.8601690141,3.0765633803,306513,0.0,1.0
TCS,2020-03-09 00:00:00+00:00,2.86,2.96,2.63,2.92,400921,2.6908169014,2.7849014085,2.4744225352,2.7472676056,400921,0.0,1.0
TCS,2020-03-10 00:00:00+00:00,2.78,2.98,2.7342,2.9,162699,2.6155492958,2.8037183099,2.5724585915,2.7284507042,162699,0.0,1.0
TCS,2020-03-11 00:00:00+00:00,2.41,2.74,2.4,2.74,262692,2.2674366197,2.577915493,2.258028169,2.577915493,262692,0.0,1.0
TCS,2020-03-12 00:00:00+00:00,2.11,2.27,2.1,2.27,315818,1.9851830986,2.1357183099,1.9757746479,2.1357183099,315818,0.0,1.0
TCS,2020-03-13 00:00:00+00:00,2.14,2.2499,1.96,2.16,394228,2.0134084507,2.1168073239,1.844056338,2.0322253521,394228,0.0,1.0
TCS,2020-03-16 00:00:00+00:00,2.09,2.1881,1.8,1.8,244511,1.9663661972,2.0586630986,1.6935211268,1.6935211268,244511,0.0,1.0
TCS,2020-03-17 00:00:00+00:00,2.26,2.28,1.94,2.02,405625,2.1263098592,2.1451267606,1.8252394366,1.9005070423,405625,0.0,1.0
